id,advertiser_name,final_url,country,score,confidence,needs_review,review_status,source,reasons,created_at
23,"NexHealth","https://www.nexhealth.com/features/forms?gtm_adid=120243912426560190&utm_source=genly&utm_medium=cpc&utm_campaign=meta_awareness&utm_genly=1&utm_placement={{placement}}&gtm_genly=1&utm_adid=120247652743150190",US,2,high,false,pending,dom_fallback,"Ad has been active 37 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:08:31.447Z
25,"Videa","https://www.videa.ai/",US,2,high,false,pending,dom_fallback,"Ad has been active 61 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:08:31.447Z
26,"Patterson Dental","https://www.pattersondental.com/software?utm_source=meta&utm_medium=paidsocial&utm_campaign=software_solutions&utm_content=upper_prospecting_dentists_image_b&utm_id=form",US,2,high,false,pending,dom_fallback,"Ad has been active 83 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:08:31.447Z
27,"Restoration Dental","https://rdclermont.smileimplantsnow.com/?utm_source=meta&utm_medium=paid social&utm_campaign=PDM 104571 diQUAL00 LangEN",US,2,low,true,pending,dom_fallback,"Domain match to business name is unclear (similarity 0.44) - needs review | Ad has been active 125 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:08:31.447Z
29,"Ivory Implant Dentistry","https://ivory-implant-dentistry.implantschedule.com/consult-fb",US,2,high,false,pending,dom_fallback,"Ad has been active 135 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:08:31.447Z
34,"Scribe","https://scribe.com/lp/software-adoption",US,2,high,false,pending,dom_fallback,"Ad has been active 15 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
36,"Builderall","https://builderall.com/#aid=2411156",US,2,high,false,pending,dom_fallback,"Ad has been active 63 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
37,"Builderall","https://builderall.com/#aid=2411156",US,2,high,false,pending,dom_fallback,"Ad has been active 63 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
38,"HighLevel","https://www.gohighlevel.com/paid-ad-fb",US,2,high,false,pending,dom_fallback,"Ad has been active 77 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
41,"Ritually Rooted","https://rituallyrooted.com/opportunities",US,2,high,false,pending,dom_fallback,"Ad has been active 57 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
42,"Builderall","https://builderall.com/#aid=2411156",US,2,high,false,pending,dom_fallback,"Ad has been active 63 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
43,"DonorSnap","https://donorsnap.com/donation-management/",US,2,high,false,pending,dom_fallback,"Ad has been active 40 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
44,"HighLevel","https://www.gohighlevel.com/paid-ad-fb",US,2,high,false,pending,dom_fallback,"Ad has been active 82 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
45,"Builderall","https://builderall.com/#aid=2411156",US,2,high,false,pending,dom_fallback,"Ad has been active 63 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
47,"HighLevel","https://www.gohighlevel.com/paid-ad-fb",US,2,high,false,pending,dom_fallback,"Ad has been active 77 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
50,"Ritually Rooted","https://rituallyrooted.com/opportunities",US,2,high,false,pending,dom_fallback,"Ad has been active 57 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
52,"Moxie","https://www.joinmoxie.com/launch",US,2,high,false,pending,dom_fallback,"Ad has been active 37 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
56,"Realtor Marketing Lab","https://remarketinglabs.com/claude-code",US,2,high,false,pending,dom_fallback,"Ad has been active 72 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
58,"UpHex","https://uphex.com/features/go-highlevel",US,2,high,false,pending,dom_fallback,"Ad has been active 44 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
8,"HRcosts.com","https://hrcosts.com/compare-quotes/",US,2,high,false,pending,dom_fallback,"Ad has been active 123 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:08:31.447Z
4,"Apex Dental Sensors","https://dentalstore123.com/shop/apex-dental-sensors/?utm_source={{site_source_name}}&utm_medium={{adset.name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}",US,2,low,true,pending,dom_fallback,"Domain match to business name is unclear (similarity 0.58) - needs review | Ad has been active 414 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:08:31.447Z
24,"Columbia Dental P.C.","https://www.columbiadental.com/",US,2,high,false,pending,dom_fallback,"Ad has been active 16 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:08:31.447Z
30,"Allie Bloyd Media","https://alliebloyd.com/highlevel",US,2,high,false,pending,dom_fallback,"Ad has been active 707 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
31,"CivicPlus","https://www.civicplus.com/blog/crm/what-is-a-311-and-citizen-request-management-solution/?utm_campaign=08 | 2026 | 311 CRM-ATOF&utm_source=facebook&utm_medium=paidsocial",US,2,high,false,pending,dom_fallback,"Ad has been active 119 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
33,"ServiceTitan","https://www.servicetitan.com/features/field-service-app",US,2,high,false,pending,dom_fallback,"Ad has been active 91 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2026-07-27T20:34:05.278Z
5,"UP3D Tech","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
2,"Software Dental DentaBash","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
15,"The Blood Sugar Journal","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
28,"Dental Hygiene with Kara RDH","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
49,"Business Explained","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:34:05.278Z
1,"Kong","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
20,"DentiMax","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
10,"IOS México","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
21,"The Blood Sugar Journal","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
13,"Dental Training for You","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
3,"Software Dental DentaBash","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
32,"AutoLeap","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:34:05.278Z
55,"SimplifyEm Property Management Software","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:34:05.278Z
22,"Kat Works LLC","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2026-07-27T20:08:31.447Z
